	Word	PoS		Freq	Ra	Disp
	@	@	ruin	4	85	0.91
	@	@	ruins	7	92	0.90
	rule	NoC	%	187	100	0.91
	@	@	rule	82	100	0.90
	@	@	rules	105	100	0.91
	rule	Verb	%	41	100	0.93
	@	@	rule	12	100	0.94
	@	@	ruled	24	98	0.91
	@	@	rules	4	91	0.84
	@	@	ruling	1	48	0.86
	ruler	NoC	%	16	97	0.88
	@	@	ruler	9	92	0.88
	@	@	rulers	7	89	0.88
	ruling	Adj	:	22	89	0.69
	ruling	NoC	%	13	87	0.84
	@	@	ruling	12	86	0.83
	@	@	rulings	1	45	0.82
	rumour	NoC	%	20	100	0.93
	@	@	rumour	7	98	0.93
	@	@	rumours	13	98	0.92
	run	NoC	%	60	100	0.94
	@	@	run	47	100	0.94
	@	@	runs	13	97	0.86
	run	Verb	%	406	100	0.96
	@	@	ran	87	100	0.91
	@	@	run	174	100	0.96
	@	@	runnin'	0	12	0.63
	@	@	running	104	100	0.95
	@	@	runs	40	99	0.93
	runner	NoC	%	15	95	0.87
	@	@	runner	7	90	0.89
	@	@	runners	8	80	0.85
	running	Adj	:	14	100	0.94
	running	NoC	%	22	100	0.95
	@	@	running	22	100	0.95
	@	@	runnings	0	8	0.58
	rural	Adj	:	63	98	0.85
	rush	NoC	%	14	99	0.92
	@	@	rush	13	99	0.92
	@	@	rushes	2	51	0.84
	rush	Verb	%	33	100	0.92
	@	@	rush	8	92	0.93
	@	@	rushed	15	98	0.90
	@	@	rushes	1	65	0.89
	@	@	rushing	8	94	0.92
	Russell	NoP	%	21	97	0.90
	@	@	Russell	21	96	0.90
	@	@	Russells	0	12	0.49
	Russia	NoP	%	43	99	0.85
	@	@	Russia	43	99	0.85
	Russian	Adj	:	52	100	0.85
	Russian	NoC	%	16	94	0.88
	@	@	Russian	3	70	0.79
	@	@	Russians	13	93	0.88
	Ruth	NoP	%	30	90	0.66
	@	@	Ruth	30	90	0.66
	S / s	Lett	:	74	100	0.87
	S	NoP	%	29	87	0.85
	@	@	S	10	70	0.68
	@	@	S.	19	85	0.84
	sack	NoC	%	12	97	0.88
	@	@	sack	8	92	0.86
	@	@	sacks	4	85	0.90
	sack	Verb	%	13	99	0.90
	@	@	sack	2	74	0.89
	@	@	sacked	9	98	0.88
	@	@	sacking	1	51	0.86
	@	@	sacks	0	13	0.72
	sacred	Adj	:	13	99	0.90
	sacrifice	NoC	%	11	97	0.91
	@	@	sacrifice	8	96	0.91
	@	@	sacrifices	3	87	0.90
	sad	Adj	%	36	100	0.94
	@	@	sad	34	100	0.94
	@	@	sadder	1	45	0.87
	@	@	saddest	1	50	0.87
	sadly	Adv	:	19	98	0.94
	safe	Adj	%	78	100	0.95
	@	@	safe	66	100	0.95
	@	@	safer	9	98	0.87
	@	@	safest	3	90	0.92
	safely	Adv	:	17	100	0.94
	safety	NoC	%	86	100	0.93
	@	@	safety	86	100	0.93
	sail	NoC	%	12	86	0.78
	@	@	sail	7	75	0.70
	@	@	sails	5	80	0.86
	sail	Verb	%	27	100	0.88
	@	@	sail	9	97	0.85
	@	@	sailed	8	95	0.91
	@	@	sailing	10	95	0.84
	@	@	sails	0	32	0.83
	sailor	NoC	%	12	95	0.88
	@	@	sailor	5	84	0.89
	@	@	sailors	7	89	0.86
	saint	NoC	%	16	97	0.90
	@	@	saint	6	88	0.90
	@	@	saints	10	94	0.88
	sake	NoC	%	33	100	0.91
	@	@	sake	32	100	0.91
	@	@	sakes	1	36	0.81
	salad	NoC	%	14	83	0.88
	@	@	salad	11	83	0.87
	@	@	salads	3	62	0.84
	salary	NoC	%	29	100	0.91
	@	@	salaries	9	92	0.91
	@	@	salary	20	100	0.90
	sale	NoC	%	192	100	0.89
	@	@	sale	88	100	0.88
	@	@	sales	104	100	0.89
	Sally	NoP	%	15	88	0.78
	@	@	Sally	15	88	0.78
	salmon	NoC	%	13	96	0.89
	@	@	salmon	13	96	0.89
	salt	NoC	%	33	100	0.90
	@	@	salt	29	100	0.90
	@	@	salts	4	73	0.83
	salvation	NoC	:	11	97	0.87
	Sam	NoP	%	31	97	0.84
	@	@	Sam	31	97	0.84
	same	DetP	:	615	100	0.98
	sample	NoC	%	71	99	0.89
	@	@	sample	44	99	0.88
	@	@	samples	27	98	0.85
	Samuel	NoP	:	13	93	0.85
	San	NoP-	:	25	93	0.86
	sanction	NoC	%	16	89	0.83
	@	@	sanction	4	77	0.89
	@	@	sanctions	13	77	0.80
	sand	NoC	%	34	100	0.92
	@	@	sand	30	100	0.92
	@	@	sands	4	79	0.89
	sandwich	NoC	%	19	98	0.90
	@	@	sandwich	10	94	0.90
	@	@	sandwiches	9	90	0.89
	Santa	NoP-	:	12	89	0.77
	Sara	NoP	%	13	69	0.57
	@	@	Sara	13	68	0.57
	Sarah	NoP	%	35	94	0.84
	@	@	Sarah	35	94	0.84
	satellite	NoC	%	22	97	0.81
	@	@	satellite	17	97	0.84
	@	@	satellites	5	78	0.70
	satisfaction	NoC	%	30	100	0.93
	@	@	satisfaction	29	100	0.94
	@	@	satisfactions	1	40	0.82
	satisfactory	Adj	:	22	99	0.93
	satisfied	Adj	:	31	100	0.93
	satisfy	Verb	%	29	98	0.93
	@	@	satisfied	5	94	0.94
	@	@	satisfies	3	69	0.84
	@	@	satisfy	20	98	0.93
	@	@	satisfying	2	76	0.90
	Saturday	NoP	%	87	100	0.89
	@	@	Saturday	83	99	0.89
	@	@	Saturdays	4	89	0.90
	sauce	NoC	%	16	89	0.85
	@	@	sauce	14	81	0.85
	@	@	sauces	2	55	0.81
	save	Verb	%	118	100	0.95
	@	@	save	67	100	0.95
	@	@	saved	32	100	0.94
	@	@	saves	5	95	0.92
	@	@	saving	14	100	0.95
	saving	NoC	%	41	100	0.92
	@	@	saving	10	99	0.92
	@	@	savings	31	100	0.90
	say	Verb	%	3344	100	0.92
	@	@	said	2087	100	0.90
	@	@	say	679	100	0.91
	@	@	sayed	0	3	0.42
	@	@	sayin'	1	15	0.62
	@	@	saying	180	100	0.91
	@	@	says	398	100	0.88
	scale	NoC	%	89	100	0.93
	@	@	scale	74	100	0.93
	@	@	scales	15	99	0.86
	scan	Verb	%	12	97	0.90
	@	@	scan	3	78	0.84
	@	@	scanned	4	80	0.88
	@	@	scanning	4	84	0.88
	@	@	scans	0	27	0.80
	scandal	NoC	%	18	99	0.85
	@	@	scandal	15	98	0.84
	@	@	scandals	3	76	0.83
	scarcely	Adv	:	17	92	0.92
	scared	Adj	:	12	92	0.89
	scatter	Verb	%	16	98	0.93
	@	@	scatter	2	75	0.89
	@	@	scattered	11	98	0.94
	@	@	scattering	3	61	0.81
	@	@	scatters	0	16	0.59
	scene	NoC	%	89	100	0.95
	@	@	scene	68	100	0.95
	@	@	scenes	21	100	0.94
	scent	NoC	%	11	88	0.88
	@	@	scent	9	84	0.88
	@	@	scents	2	53	0.81
	schedule	NoC	%	30	99	0.89
	@	@	schedule	24	99	0.88
	@	@	schedules	6	89	0.83
	schedule	Verb	%	16	93	0.83
	@	@	schedule	1	55	0.82
	@	@	scheduled	14	93	0.81
	@	@	scheduling	1	38	0.80
	scheme	NoC	%	170	100	0.92
	@	@	scheme	119	100	0.92
	@	@	schemes	51	99	0.92
	scholar	NoC	%	18	96	0.88
	@	@	scholar	7	94	0.87
	@	@	scholars	11	87	0.87
	scholarship	NoC	%	11	93	0.89
	@	@	scholarship	9	91	0.88
	@	@	scholarships	2	65	0.85
	school	NoC	%	529	100	0.93
	@	@	school	375	100	0.94
	@	@	schools	154	100	0.89
	science	NoC	%	127	100	0.87
	@	@	science	106	100	0.86
	@	@	sciences	21	88	0.84
	scientific	Adj	:	59	98	0.89
	scientist	NoC	%	56	100	0.78
	@	@	scientist	20	98	0.68
	@	@	scientists	35	96	0.83
	scope	NoC	%	34	99	0.91
	@	@	scope	34	99	0.91
	@	@	scopes	0	9	0.66
	score	NoC	%	45	100	0.92
	@	@	score	27	100	0.92
	@	@	scores	17	100	0.91
	score	Verb	%	51	100	0.87
	@	@	score	14	94	0.87
	@	@	scored	28	100	0.85
	@	@	scores	1	59	0.86
	@	@	scoring	7	89	0.87
	Scot	NoC	%	16	90	0.84
	@	@	Scot	3	76	0.86
	@	@	Scots	12	84	0.82
	Scotland	NoP	%	131	100	0.87
	@	@	Scotland	131	100	0.87
	Scott	NoP	%	32	96	0.87
	@	@	Scott	32	96	0.87
	@	@	Scotts	0	19	0.68
	Scottish	Adj	:	98	99	0.82
	scrap	NoC	%	10	99	0.93
	@	@	scrap	6	93	0.92
	@	@	scraps	4	91	0.92
	scratch	Verb	%	12	96	0.91
	@	@	scratch	4	91	0.92
	@	@	scratched	5	83	0.87
	@	@	scratches	0	17	0.75
	@	@	scratching	3	82	0.90
	scream	Verb	%	29	98	0.88
	@	@	scream	5	82	0.87
	@	@	screamed	11	80	0.84
	@	@	screaming	12	96	0.89
	@	@	screams	1	46	0.86
	screen	NoC	%	57	100	0.90
	@	@	screen	48	100	0.89
	@	@	screens	9	98	0.91
	screen	Verb	%	11	96	0.88
	@	@	screen	2	76	0.89
	@	@	screened	5	91	0.91
	@	@	screening	3	69	0.77
	@	@	screens	0	27	0.81
	screw	Verb	%	11	91	0.89
	@	@	screw	3	77	0.88
	@	@	screwed	5	80	0.88
	@	@	screwing	2	52	0.85
	@	@	screws	1	31	0.81
	script	NoC	%	16	98	0.89
	@	@	script	12	98	0.88
	@	@	scripts	4	76	0.87
	scrutiny	NoC	%	12	95	0.92
	@	@	scrutinies	0	10	0.56
	@	@	scrutiny	12	95	0.92
	sculpture	NoC	%	19	93	0.76
	@	@	sculpture	13	87	0.78
	@	@	sculptures	6	72	0.69
	sea	NoC	%	139	100	0.94
	@	@	sea	130	100	0.94
	@	@	seas	9	97	0.91
	seal	NoC	%	15	99	0.91
	@	@	seal	10	97	0.92
	@	@	seals	5	80	0.84
	seal	Verb	%	15	100	0.95
	@	@	seal	4	91	0.92
	@	@	sealed	8	98	0.93
	@	@	sealing	2	71	0.90
	@	@	seals	1	47	0.85
	search	NoC	%	56	99	0.88
	@	@	search	51	99	0.88
	@	@	searches	5	77	0.78
	search	Verb	%	43	100	0.94
	@	@	search	12	97	0.93
	@	@	searched	11	98	0.91
	@	@	searches	1	35	0.73
	@	@	searching	19	99	0.93
	season	NoC	%	122	100	0.87
	@	@	season	109	100	0.87
	@	@	seasons	12	97	0.90
	seat	NoC	%	109	100	0.91
	@	@	seat	62	100	0.93
	@	@	seats	47	100	0.82
	seat	Verb	%	11	94	0.89
	@	@	seat	0	23	0.80
	@	@	seated	9	91	0.88
	@	@	seating	1	64	0.87
	@	@	seats	0	10	0.69
	second	NoC	%	98	100	0.95
	@	@	second	56	100	0.95
	@	@	seconds	42	100	0.93
	second	Ord	:	358	100	0.96
	secondary	Adj	:	43	99	0.90
	secondly	Adv	:	29	96	0.92
	secret	Adj	:	36	100	0.93
	secret	NoC	%	36	100	0.93
	@	@	secret	22	100	0.93
	@	@	secrets	14	98	0.90
	secretary	NoC	%	162	100	0.86
	@	@	secretaries	8	97	0.92
	@	@	secretary	154	100	0.86
	section	NoC	%	232	100	0.87
	@	@	section	186	100	0.86
	@	@	sections	46	100	0.91
	sector	NoC	%	110	97	0.90
	@	@	sector	87	97	0.90
	@	@	sectors	23	81	0.88
	secure	Adj	%	18	100	0.94
	@	@	secure	18	100	0.94
	secure	Verb	%	57	99	0.93
	@	@	secure	28	99	0.93
	@	@	secured	19	97	0.93
	@	@	secures	1	53	0.85
	@	@	securing	9	90	0.91
	security	NoC	%	158	100	0.88
	@	@	securities	19	69	0.81
	@	@	security	138	100	0.88
	sediment	NoC	%	11	60	0.66
	@	@	sediment	6	54	0.67
	@	@	sediments	5	31	0.62
	see	Verb	%	1920	100	0.95
	@	@	saw	261	100	0.92
	@	@	see	1186	100	0.93
	@	@	seeing	61	100	0.94
	@	@	seen	376	100	0.97
	@	@	sees	35	100	0.95
	seed	NoC	%	32	100	0.90
	@	@	seed	16	99	0.91
	@	@	seeds	16	99	0.88
	seek	Verb	%	169	100	0.94
	@	@	seek	54	98	0.94
	@	@	seeking	46	98	0.95
	@	@	seeks	15	92	0.90
	@	@	sought	53	99	0.92
	seem	Verb	%	624	100	0.96
	@	@	seem	170	99	0.97
	@	@	seemed	238	100	0.90
	@	@	seeming	4	86	0.86
	@	@	seems	212	100	0.96
	seemingly	Adv	:	12	97	0.95
	segment	NoC	%	15	91	0.82
	@	@	segment	7	80	0.80
	@	@	segments	8	86	0.83
	seize	Verb	%	26	97	0.93
	@	@	seize	6	94	0.93
	@	@	seized	17	96	0.92
	@	@	seizes	1	44	0.85
	@	@	seizing	2	77	0.89
	seldom	Adv	:	15	97	0.94
	select	Adj	:	12	95	0.83
	select	Verb	%	58	100	0.92
	@	@	select	18	98	0.89
	@	@	selected	29	100	0.93
	@	@	selecting	9	95	0.90
	@	@	selects	2	72	0.89
	selected	Adj	:	14	93	0.89
	selection	NoC	%	63	100	0.92
	@	@	selection	60	100	0.92
	@	@	selections	2	68	0.88
	selective	Adj	:	13	88	0.90
	self	NoC	%	38	100	0.93
	@	@	self	36	100	0.92
	@	@	selves	2	75	0.90
	sell	Verb	%	213	100	0.95
	@	@	sell	76	100	0.94
	@	@	selling	43	100	0.94
	@	@	sells	9	96	0.90
	@	@	sold	84	100	0.94
	seller	NoC	%	24	92	0.61
	@	@	seller	19	84	0.56
	@	@	sellers	5	79	0.78
	selling	NoC	%	12	95	0.88
	@	@	selling	12	95	0.88
	semantic	Adj	:	13	61	0.70
	semi-final	NoC	%	10	55	0.77
	@	@	semi-final	6	44	0.75
	@	@	semi-finals	4	48	0.79
	seminar	NoC	%	19	94	0.86
	@	@	seminar	12	88	0.86
	@	@	seminars	8	82	0.84
	senate	NoC	%	13	80	0.69
	@	@	senate	13	80	0.69
	send	Verb	%	250	100	0.97
	@	@	send	80	100	0.96
	@	@	sending	26	100	0.96
	@	@	sends	6	98	0.93
	@	@	sent	137	100	0.97
	senior	Adj	:	82	100	0.92
	sensation	NoC	%	19	92	0.86
	@	@	sensation	14	92	0.88
	@	@	sensations	5	80	0.80
	sense	NoC	%	229	100	0.95
	@	@	sense	213	100	0.95
	@	@	senses	16	97	0.90
	sense	Verb	%	20	97	0.88
	@	@	sense	6	93	0.90
	@	@	sensed	10	84	0.85
	@	@	senses	1	48	0.86
	@	@	sensing	3	70	0.87
	sensible	Adj	:	28	100	0.94
	sensitive	Adj	:	36	100	0.94
	sensitivity	NoC	%	17	98	0.88
	@	@	sensitivities	1	55	0.84
	@	@	sensitivity	16	98	0.88
	sentence	NoC	%	86	100	0.89
	@	@	sentence	58	100	0.90
	@	@	sentences	29	98	0.87
	sentence	Verb	%	14	85	0.82
	@	@	sentence	0	11	0.67
	@	@	sentenced	12	82	0.81
	@	@	sentencing	1	37	0.79
	sentiment	NoC	%	11	97	0.93
	@	@	sentiment	6	93	0.92
	@	@	sentiments	5	91	0.90
	separate	Adj	:	77	100	0.95
	separate	Verb	%	43	100	0.94
	@	@	separate	15	100	0.94
	@	@	separated	21	99	0.93
	@	@	separates	3	79	0.91
	@	@	separating	5	96	0.92
	separately	Adv	:	18	100	0.93
	separation	NoC	%	19	98	0.91
	@	@	separation	19	98	0.91
	@	@	separations	1	39	0.79
	Sept	NoP	%	32	50	0.46
	@	@	Sept	2	42	0.78
	@	@	Sept.	30	20	0.43
	September	NoP	:	104	100	0.90
	sequence	NoC	%	56	98	0.83
	@	@	sequence	42	98	0.86
	@	@	sequences	14	77	0.75
	sergeant	NoC	%	28	93	0.82
	@	@	sergeant	26	92	0.82
	@	@	sergeants	2	48	0.82
	series	NoC	:	144	100	0.93
	serious	Adj	:	124	100	0.97
	seriously	Adv	:	57	100	0.97
	serum	NoC	%	13	43	0.49
	@	@	serum	13	41	0.49
	@	@	serums	0	7	0.59
	servant	NoC	%	48	100	0.93
	@	@	servant	18	98	0.91
	@	@	servants	30	99	0.92
	serve	Verb	%	159	100	0.95
	@	@	serve	53	100	0.95
	@	@	served	64	100	0.94
	@	@	serves	17	100	0.92
	@	@	serving	25	100	0.94
	server	NoC	%	22	51	0.46
	@	@	server	15	42	0.48
	@	@	servers	7	31	0.39
	service	NoC	%	549	100	0.93
	@	@	service	300	100	0.94
	@	@	services	249	100	0.91
	service	Verb	%	11	98	0.92
	@	@	service	6	90	0.91
	@	@	serviced	3	84	0.90
	@	@	services	0	22	0.79
	@	@	servicing	3	74	0.90
	session	NoC	%	66	100	0.91
	@	@	session	44	100	0.89
	@	@	sessions	21	100	0.92
	set	NoC	%	140	100	0.95
	@	@	set	112	100	0.95
	@	@	sets	29	100	0.93
	set	Verb	%	398	100	0.97
	@	@	set	332	100	0.97
	@	@	sets	22	100	0.94
	@	@	setting	45	100	0.96
	setting	NoC	%	40	100	0.92
	@	@	setting	30	100	0.93
	@	@	settings	10	90	0.89
	settle	Verb	%	74	100	0.96
	@	@	settle	25	100	0.96
	@	@	settled	39	100	0.95
	@	@	settles	2	82	0.92
	@	@	settling	8	99	0.94
	settlement	NoC	%	59	99	0.85
	@	@	settlement	46	98	0.85
	@	@	settlements	13	89	0.82
	seven	Num	%	176	100	0.91
	@	@	seven	173	100	0.91
	@	@	sevens	3	41	0.67
	seventeen	Num	%	18	100	0.88
	@	@	seventeen	18	100	0.88
	seventeenth	Ord	:	12	91	0.87
	seventh	Ord	:	15	100	0.92
	seventy	Num	%	39	99	0.81
	@	@	seventies	10	95	0.91
	@	@	seventy	29	96	0.76
	several	DetP	:	240	100	0.96
	severe	Adj	%	47	100	0.92
	@	@	severe	46	100	0.92
	@	@	severest	0	33	0.84
	severely	Adv	:	18	98	0.94
	sex	NoC	%	90	100	0.92
	@	@	sex	83	100	0.92
	@	@	sexes	7	90	0.87
	sexual	Adj	:	69	99	0.87
	sexuality	NoC	%	14	89	0.83
	@	@	sexualities	0	6	0.56
	@	@	sexuality	14	89	0.83
	sexually	Adv	:	10	97	0.88
	shade	NoC	%	23	99	0.92
	@	@	shade	14	97	0.90
	@	@	shades	9	97	0.90
	shadow	NoC	%	45	100	0.91
	@	@	shadow	30	100	0.92
	@	@	shadows	15	89	0.86
	shaft	NoC	%	13	97	0.90
	@	@	shaft	9	90	0.89
	@	@	shafts	4	81	0.89
	Shah	NoP	%	11	46	0.32
	@	@	Shah	10	46	0.34
	@	@	Shahs	1	4	0.09
	shake	Verb	%	93	100	0.85
	@	@	shake	13	98	0.91
	@	@	shaken	8	94	0.90
	@	@	shakes	2	70	0.86
	@	@	shaking	18	95	0.86
	@	@	shook	53	93	0.81
	Shakespeare	NoP	%	19	96	0.86
	@	@	Shakespeare	19	96	0.86
	shall	VMod	%	208	100	0.92
	@	@	sha~	5	57	0.83
	@	@	shall	202	100	0.92
	shallow	Adj	%	15	100	0.93
	@	@	shallow	14	100	0.93
	@	@	shallower	1	43	0.84
	@	@	shallowest	0	10	0.70
	shame	NoC	%	19	98	0.92
	@	@	shame	19	98	0.92
	shape	NoC	%	82	100	0.94
	@	@	shape	62	100	0.94
	@	@	shapes	19	99	0.92
	shape	Verb	%	21	100	0.93
	@	@	shape	6	97	0.92
	@	@	shaped	11	98	0.91
	@	@	shapes	0	27	0.80
	@	@	shaping	4	89	0.91
	share	NoC	%	161	100	0.86
	@	@	share	82	100	0.87
	@	@	shares	79	99	0.84
	share	Verb	%	116	100	0.97
	@	@	share	54	100	0.96
	@	@	shared	36	99	0.96
	@	@	shares	5	89	0.91
	@	@	sharing	21	100	0.95
	shared	Adj	:	15	97	0.92
	shareholder	NoC	%	39	89	0.81
	@	@	shareholder	8	74	0.81
	@	@	shareholders	31	85	0.80
	sharp	Adj	:	44	100	0.95
	sharply	Adv	:	25	95	0.92
	she	Pron	%	4888	100	0.86
	@	@	'er	2	18	0.65
	@	@	her	1085	100	0.85
	@	@	she	3801	100	0.86
	shed	NoC	%	14	96	0.90
	@	@	shed	10	90	0.88
	@	@	sheds	4	89	0.90
	shed	Verb	%	14	99	0.93
	@	@	shed	12	98	0.93
	@	@	shedding	2	77	0.90
	@	@	sheds	0	28	0.80
	sheep	NoC	%	30	99	0.91
	@	@	sheep	30	99	0.91
	sheer	Adj	%	21	100	0.95
	@	@	sheer	21	100	0.95
	sheet	NoC	%	66	100	0.95
	@	@	sheet	42	100	0.94
	@	@	sheets	24	98	0.94
	Sheffield	NoP	%	21	91	0.87
	@	@	Sheffield	21	91	0.87
	shelf	NoC	%	26	100	0.93
	@	@	shelf	14	100	0.93
	@	@	shelves	12	98	0.92
	shell	NoC	%	30	100	0.91
	@	@	shell	20	100	0.92
	@	@	shells	10	98	0.89
	Shelley	NoP	%	12	64	0.40
	@	@	Shelley	11	64	0.40
	shelter	NoC	%	16	100	0.94
	@	@	shelter	14	100	0.93
	@	@	shelters	2	72	0.89
	shield	NoC	%	16	99	0.77
	@	@	shield	10	99	0.84
	@	@	shields	6	73	0.63
	shift	NoC	%	34	100	0.93
	@	@	shift	26	100	0.93
	@	@	shifts	8	99	0.91
	shift	Verb	%	37	100	0.95
	@	@	shift	15	100	0.93
	@	@	shifted	14	100	0.93
	@	@	shifting	5	93	0.93
	@	@	shifts	3	80	0.90
	shilling	NoC	%	10	92	0.87
	@	@	shilling	4	78	0.85
	@	@	shillings	6	86	0.87
	shine	Verb	%	22	96	0.90
	@	@	shine	5	88	0.88
	@	@	shined	0	11	0.71
	@	@	shines	2	83	0.91
	@	@	shining	7	85	0.88
	@	@	shone	9	83	0.86
	ship	NoC	%	70	100	0.92
	@	@	ship	43	100	0.90
	@	@	ships	27	100	0.91
	ship	Verb	%	16	99	0.72
	@	@	ship	4	69	0.56
	@	@	shipped	5	92	0.84
	@	@	shipping	6	84	0.72
	@	@	ships	1	31	0.64
	shirt	NoC	%	36	98	0.89
	@	@	shirt	28	96	0.88
	@	@	shirts	8	94	0.92
	shit	NoC	%	19	75	0.78
	@	@	shit	19	73	0.78
	@	@	shits	0	22	0.79
	shiver	Verb	%	12	73	0.82
	@	@	shiver	2	38	0.82
	@	@	shivered	6	41	0.79
	@	@	shivering	4	60	0.83
	@	@	shivers	0	19	0.77
	shock	NoC	%	45	100	0.93
	@	@	shock	42	100	0.93
	@	@	shocks	3	83	0.85
	shocked	Adj	:	15	100	0.91
	shoe	NoC	%	48	100	0.91
	@	@	shoe	11	95	0.89
	@	@	shoes	37	100	0.91
	shoot	Verb	%	77	100	0.94
	@	@	shoot	15	98	0.92
	@	@	shooting	11	95	0.93
	@	@	shoots	2	71	0.90
	@	@	shot	49	100	0.92
	shooting	NoC	%	13	97	0.92
	@	@	shooting	12	97	0.92
	@	@	shootings	1	38	0.80
	shop	NoC	%	154	100	0.94
	@	@	shop	102	100	0.93
	@	@	shops	52	100	0.95
	shop	Verb	%	16	98	0.92
	@	@	shop	5	95	0.92
	@	@	shopped	1	40	0.85
	@	@	shopping	10	94	0.90
	@	@	shops	0	25	0.80
	shopping	NoC	%	29	99	0.93
	@	@	shopping	29	99	0.93
	shore	NoC	%	20	99	0.92
	@	@	shore	15	96	0.91
	@	@	shores	5	86	0.89
	short	Adj	%	198	100	0.97
	@	@	short	177	100	0.98
	@	@	shorter	18	100	0.94
	@	@	shortest	3	89	0.92
	short-term	Adj	:	17	91	0.91
	shortage	NoC	%	21	98	0.93
	@	@	shortage	15	98	0.93
	@	@	shortages	6	86	0.88
	shortly	Adv	:	38	100	0.96
	shot	NoC	%	50	100	0.90
	@	@	shot	33	100	0.90
	@	@	shots	18	96	0.90
	should	VMod	:	1112	100	0.97
	shoulder	NoC	%	88	98	0.87
	@	@	shoulder	46	97	0.88
	@	@	shoulders	42	97	0.86
	shout	Verb	%	59	100	0.88
	@	@	shout	10	96	0.90
	@	@	shouted	29	99	0.84
	@	@	shouting	17	98	0.90
	@	@	shouts	2	63	0.85
	show	NoC	%	105	100	0.92
	@	@	show	87	100	0.91
	@	@	shows	18	100	0.92
	show	Verb	%	598	100	0.95
	@	@	show	180	100	0.97
	@	@	showed	107	100	0.94
	@	@	showing	63	100	0.96
	@	@	shown	150	100	0.91
	@	@	shows	99	100	0.93
	shower	NoC	%	19	95	0.91
	@	@	shower	15	93	0.90
	@	@	showers	4	85	0.90
	shrug	Verb	%	28	82	0.81
	@	@	shrug	2	66	0.88
	@	@	shrugged	24	73	0.80
	@	@	shrugging	1	37	0.79
	@	@	shrugs	1	36	0.81
	shut	Verb	%	52	100	0.88
	@	@	shut	47	100	0.87
	@	@	shuts	1	59	0.88
	@	@	shutting	3	87	0.90
	shy	Adj	%	11	96	0.93
	@	@	shy	11	96	0.93
	@	@	shyer	0	8	0.64
	sick	Adj	%	44	100	0.93
	@	@	sick	44	100	0.93
	@	@	sicker	0	11	0.71
	sickness	NoC	%	12	99	0.91
	@	@	sickness	12	99	0.91
	@	@	sicknesses	0	7	0.50
	side	NoC	%	398	100	0.97
	@	@	side	335	100	0.96
	@	@	sides	63	100	0.96
	sigh	NoC	%	12	88	0.82
	@	@	sigh	11	85	0.81
	@	@	sighs	1	44	0.85
	sigh	Verb	%	25	78	0.81
	@	@	sigh	1	36	0.82
	@	@	sighed	21	64	0.80
	@	@	sighing	2	45	0.82
	@	@	sighs	1	48	0.82
	sight	NoC	%	74	100	0.94
	@	@	sight	66	100	0.93
	@	@	sights	8	93	0.92
	sign	NoC	%	106	100	0.95
	@	@	sign	59	100	0.93
	@	@	signs	47	100	0.95
	sign	Verb	%	93	100	0.90
	@	@	sign	25	100	0.93
	@	@	signed	57	100	0.86
	@	@	signing	9	98	0.90
	@	@	signs	2	73	0.88
	signal	NoC	%	46	100	0.90
	@	@	signal	28	100	0.89
	@	@	signals	19	100	0.89
	signal	Verb	%	15	99	0.94
	@	@	signal	4	90	0.90
	@	@	signalled	6	92	0.93
	@	@	signalling	3	86	0.91
	@	@	signals	2	64	0.89
	signature	NoC	%	15	100	0.90
	@	@	signature	11	100	0.88
	@	@	signatures	4	91	0.90
	significance	NoC	%	47	100	0.92
	@	@	significance	47	100	0.92
	@	@	significances	0	11	0.61
	significant	Adj	:	121	99	0.91
	significantly	Adv	:	42	95	0.82
	silence	NoC	%	57	100	0.86
	@	@	silence	56	100	0.86
	@	@	silences	1	48	0.84
	silent	Adj	:	38	100	0.88
	silently	Adv	:	12	79	0.83
	silk	NoC	%	24	97	0.90
	@	@	silk	22	97	0.90
	@	@	silks	2	46	0.84
	silly	Adj	%	29	96	0.88
	@	@	sillier	0	13	0.71
	@	@	silliest	0	19	0.77
	@	@	silly	28	96	0.88
	silver	NoC	%	39	100	0.93
	@	@	silver	39	100	0.93
	similar	Adj	:	184	100	0.94
	similarity	NoC	%	17	96	0.90
	@	@	similarities	9	90	0.91
	@	@	similarity	8	92	0.89
	similarly	Adv	:	45	97	0.92
	Simon	NoP	:	43	99	0.89
	simple	Adj	%	159	100	0.95
	@	@	simple	140	100	0.95
	@	@	simpler	10	96	0.93
	@	@	simplest	10	97	0.91
	simply	Adv	:	177	100	0.96
	simultaneously	Adv	:	18	99	0.93
	sin	NoC	%	19	99	0.90
	@	@	sin	13	99	0.89
	@	@	sins	6	90	0.89
	since	Adv	:	29	100	0.96
	since	Conj	:	295	100	0.97
	since	Prep	:	178	100	0.93
	sincerely	Adv	:	11	95	0.74
	sing	Verb	%	63	100	0.93
	@	@	sang	12	99	0.91
	@	@	sing	21	98	0.91
	@	@	singin'	0	9	0.64
	@	@	singing	21	97	0.93
	@	@	sings	3	86	0.90
	@	@	sung	5	86	0.90
	singer	NoC	%	20	97	0.89
	@	@	singer	13	95	0.87
	@	@	singers	7	88	0.86
	single	Adj	:	177	100	0.95
	single	NoC	%	15	90	0.83
	@	@	single	6	84	0.77
	@	@	singles	8	73	0.84
	sink	NoC	%	13	97	0.89
	@	@	sink	11	90	0.89
	@	@	sinks	2	75	0.84
	sink	Verb	%	32	100	0.92
